Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam,VN,VNM,Hồ Chí Minh,admin,15136000,1704774326
Hanoi,Hanoi,21.0283,105.8542,Vietnam,VN,VNM,Hà Nội,primary,8246600,1704413791
Haiphong,Haiphong,20.8651,106.6838,Vietnam,VN,VNM,Hải Phòng,admin,2103500,1704000623
Cần Thơ,Can Tho,10.0333,105.7833,Vietnam,VN,VNM,Cần Thơ,admin,1237300,1704783472
Biên Hòa,Bien Hoa,10.9500,106.8167,Vietnam,VN,VNM,Đồng Nai,admin,1104000,1704863046
Thủ Đức,Thu Duc,10.8266,106.7609,Vietnam,VN,VNM,Hồ Chí Minh,minor,1013795,1704361621
Quảng Hà,Quang Ha,15.9333,108.2667,Vietnam,VN,VNM,Quảng Nam,,1000000,1704966442
Huế,Hue,16.4667,107.5792,Vietnam,VN,VNM,Thừa Thiên-Huế,admin,652572,1704016023
Tân An,Tan An,10.9050,106.6994,Vietnam,VN,VNM,Hồ Chí Minh,,618984,1704599287
Bắc Ninh,Bac Ninh,21.1833,106.0500,Vietnam,VN,VNM,Bắc Ninh,admin,520000,1704025181
Hải Dương,Hai Duong,20.9397,106.3306,Vietnam,VN,VNM,Hải Dương,admin,507469,1704909566
Vinh,Vinh,18.6667,105.6667,Vietnam,VN,VNM,Nghệ An,admin,490000,1704960059
Tân Uyên,Tan Uyen,11.0508,106.7636,Vietnam,VN,VNM,Bình Dương,minor,466053,1704985934
Thủ Dầu Một,Thu Dau Mot,10.9667,106.6500,Vietnam,VN,VNM,Bình Dương,admin,417000,1704890399
Thanh Hóa,Thanh Hoa,19.8075,105.7764,Vietnam,VN,VNM,Thanh Hóa,admin,393294,1704016079
Nha Trang,Nha Trang,12.2450,109.1917,Vietnam,VN,VNM,Khánh Hòa,admin,392279,1704497901
Nam Định,Nam Dinh,20.4200,106.1683,Vietnam,VN,VNM,Nam Định,admin,352108,1704906277
Vũng Tàu,Vung Tau,10.3833,107.1167,Vietnam,VN,VNM,Bà Rịa-Vũng Tàu,admin,341552,1704581438
Buôn Ma Thuột,Buon Ma Thuot,12.6667,108.0500,Vietnam,VN,VNM,Đắk Lắk,admin,340000,1704542086
